
987, 1, 
987, 900@DX!teta: 1, 15, 15, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
55, 0.003518, of, 400, records,   speed:, 6.4e-05, 
60, 0.003025, of, 386, records,   speed:, 5e-05, 
65, 0.003632, of, 277, records,   speed:, 5.6e-05, 
70, 0.003875, of, 205, records,   speed:, 5.5e-05, 
75, 0.004366, of, 218, records,   speed:, 5.8e-05, 
80, 0.002967, of, 208, records,   speed:, 3.7e-05, 
85, 0.004077, of, 161, records,   speed:, 4.8e-05, 
90, 0.004715, of, 120, records,   speed:, 5.2e-05, 
95, 0.004488, of, 89, records,   speed:, 4.7e-05, 
100, 0.0048, of, 287, records,   speed:, 4.8e-05, 
AVG error:, -0.000366, of , 15242, records, 
AVGerrorSpeed:, -6.2e-06, of , 15242, records, 
AVGabsErr:, 0.00409, of , 15242, records speed, 
AVGabsErrSpeed:, 0.0001684, of , 15242, records speed, 
****************************************************************************************************, 


987, 1, 
987, 1, 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10, 20, 30, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, -0.010305, of, 3, records,   speed:, -0.000515, 
40, -0.007907, of, 14, records,   speed:, -0.000198, 
60, -0.005807, of, 3, records,   speed:, -9.7e-05, 
20, 0.010305, of, 3, records,   speed:, 0.000515, 
40, 0.007907, of, 14, records,   speed:, 0.000198, 
60, 0.005807, of, 3, records,   speed:, 9.7e-05, 
AVG error:, -0.0079517, of , 20, records, 
AVGerrorSpeed:, -0.0002302, of , 20, records, 
AVGabsErr:, 0.0079517, of , 20, records speed, 
AVGabsErrSpeed:, 0.0002302, of , 20, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 30, zeta 15
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000544, of, 4707, records,   speed:, 2.7e-05, 
40, 0.000698, of, 4317, records,   speed:, 1.7e-05, 
60, 0.000731, of, 2825, records,   speed:, 1.2e-05, 
80, 0.002696, of, 1708, records,   speed:, 3.4e-05, 
100, 0.003176, of, 823, records,   speed:, 3.2e-05, 
120, 0.003314, of, 355, records,   speed:, 2.8e-05, 
140, 0.005086, of, 507, records,   speed:, 3.6e-05, 
20, 0.004031, of, 4707, records,   speed:, 0.000202, 
40, 0.003814, of, 4317, records,   speed:, 9.5e-05, 
60, 0.003788, of, 2825, records,   speed:, 6.3e-05, 
80, 0.004406, of, 1708, records,   speed:, 5.5e-05, 
100, 0.004677, of, 823, records,   speed:, 4.7e-05, 
120, 0.005044, of, 355, records,   speed:, 4.2e-05, 
140, 0.005989, of, 507, records,   speed:, 4.3e-05, 
AVG error:, 0.0012212, of , 15242, records, 
