0.98, 900@DX!teta: 0.0, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
9, 0.00167, of, 86, records,   speed:, 0.000186, 
10, 0.001494, of, 79, records,   speed:, 0.000149, 
11, 0.002028, of, 43, records,   speed:, 0.000184, 
12, 0.00195, of, 44, records,   speed:, 0.000162, 
13, 0.002163, of, 32, records,   speed:, 0.000166, 
14, 0.001853, of, 32, records,   speed:, 0.000132, 
15, 0.00218, of, 25, records,   speed:, 0.000145, 
16, 0.000665, of, 22, records,   speed:, 4.2e-05, 
17, 0.000929, of, 21, records,   speed:, 5.5e-05, 
18, -0.000126, of, 22, records,   speed:, -7e-06, 
19, 0.00164, of, 11, records,   speed:, 8.6e-05, 
20, 0.002345, of, 6, records,   speed:, 0.000117, 
-20, 0.001983, of, 5, records,   speed:, 9.9e-05, 
-19, 0.001803, of, 12, records,   speed:, 9.5e-05, 
-18, 0.002127, of, 18, records,   speed:, 0.000118, 
-17, 0.002263, of, 18, records,   speed:, 0.000133, 
-16, 0.003266, of, 19, records,   speed:, 0.000204, 
-15, 0.002792, of, 17, records,   speed:, 0.000186, 
-14, 0.002342, of, 28, records,   speed:, 0.000167, 
-13, 0.001991, of, 24, records,   speed:, 0.000153, 
-12, 0.001885, of, 41, records,   speed:, 0.000157, 
-11, 0.00229, of, 55, records,   speed:, 0.000208, 
-10, 0.002255, of, 78, records,   speed:, 0.000225, 
-9, 0.00259, of, 76, records,   speed:, 0.000288, 
-8, 0.002371, of, 116, records,   speed:, 0.000296, 
-7, 0.002251, of, 141, records,   speed:, 0.000322, 
-6, 0.002376, of, 218, records,   speed:, 0.000396, 
-5, 0.002208, of, 257, records,   speed:, 0.000442, 
-4, 0.002373, of, 280, records,   speed:, 0.000593, 
-3, 0.002378, of, 391, records,   speed:, 0.000793, 
-2, 0.002186, of, 403, records,   speed:, 0.001093, 
-1, 0.002464, of, 703, records,   speed:, 0.002464, 
1, 0.002433, of, 713, records,   speed:, 0.002433, 
2, 0.002472, of, 399, records,   speed:, 0.001236, 
3, 0.002338, of, 326, records,   speed:, 0.000779, 
4, 0.002517, of, 307, records,   speed:, 0.000629, 
5, 0.002793, of, 242, records,   speed:, 0.000559, 
6, 0.002438, of, 146, records,   speed:, 0.000406, 
7, 0.002628, of, 135, records,   speed:, 0.000375, 
8, 0.002873, of, 102, records,   speed:, 0.000359, 
9, 0.002738, of, 86, records,   speed:, 0.000304, 
10, 0.002716, of, 79, records,   speed:, 0.000272, 
11, 0.00287, of, 43, records,   speed:, 0.000261, 
12, 0.002649, of, 44, records,   speed:, 0.000221, 
13, 0.002977, of, 32, records,   speed:, 0.000229, 
14, 0.002575, of, 32, records,   speed:, 0.000184, 
15, 0.002893, of, 25, records,   speed:, 0.000193, 
16, 0.002202, of, 22, records,   speed:, 0.000138, 
17, 0.002051, of, 21, records,   speed:, 0.000121, 
18, 0.002532, of, 22, records,   speed:, 0.000141, 
19, 0.001832, of, 11, records,   speed:, 9.6e-05, 
20, 0.003272, of, 6, records,   speed:, 0.000164, 
AVG error:, -1.28e-05, of , 5884, records, 
AVGerrorSpeed:, -3.12e-05, of , 5884, records, 
AVGabsErr:, 0.0024301, of , 5884, records speed, 
AVGabsErrSpeed:, 0.0010326, of , 5884, records speed, 
****************************************************************************************************, 
 , 
0.98, 900@DX!teta: 0.9, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-20, -0.001018, of, 14, records,   speed:, -5.1e-05, 
-19, -0.000929, of, 19, records,   speed:, -4.9e-05, 
-18, -0.001675, of, 18, records,   speed:, -9.3e-05, 
-17, -0.000385, of, 11, records,   speed:, -2.3e-05, 
-16, -0.000874, of, 23, records,   speed:, -5.5e-05, 
-15, -0.001526, of, 18, records,   speed:, -0.000102, 
-14, -0.000826, of, 31, records,   speed:, -5.9e-05, 
-13, -0.000899, of, 40, records,   speed:, -6.9e-05, 
-12, -0.000966, of, 46, records,   speed:, -8e-05, 
-11, -0.001252, of, 63, records,   speed:, -0.000114, 
-10, -0.001073, of, 77, records,   speed:, -0.000107, 
-9, -0.001532, of, 94, records,   speed:, -0.00017, 
-8, -0.001774, of, 118, records,   speed:, -0.000222, 
-7, -0.001336, of, 155, records,   speed:, -0.000191, 
-6, -0.001298, of, 207, records,   speed:, -0.000216, 
-5, -0.001503, of, 253, records,   speed:, -0.000301, 
-4, -0.000958, of, 292, records,   speed:, -0.000239, 
-3, -0.000923, of, 367, records,   speed:, -0.000308, 
-2, -0.000512, of, 384, records,   speed:, -0.000256, 
-1, -0.000268, of, 656, records,   speed:, -0.000268, 
1, 9.8e-05, of, 657, records,   speed:, 9.8e-05, 
2, 0.000553, of, 371, records,   speed:, 0.000277, 
3, 0.000931, of, 341, records,   speed:, 0.00031, 
4, 0.000928, of, 271, records,   speed:, 0.000232, 
5, 0.001445, of, 248, records,   speed:, 0.000289, 
6, 0.001038, of, 165, records,   speed:, 0.000173, 
7, 0.001431, of, 128, records,   speed:, 0.000204, 
8, 0.001462, of, 128, records,   speed:, 0.000183, 
9, 0.001916, of, 88, records,   speed:, 0.000213, 
10, 0.001606, of, 67, records,   speed:, 0.000161, 
11, 0.001822, of, 56, records,   speed:, 0.000166, 
12, 0.001895, of, 62, records,   speed:, 0.000158, 
13, 0.002259, of, 29, records,   speed:, 0.000174, 
