0.98, 1000@20, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-17, -0.00144, of, 9, records,   speed:, -8.5e-05, 
-16, -0.000872, of, 13, records,   speed:, -5.4e-05, 
-15, -0.000488, of, 16, records,   speed:, -3.3e-05, 
-14, -0.00245, of, 16, records,   speed:, -0.000175, 
-13, -0.000343, of, 24, records,   speed:, -2.6e-05, 
-12, -0.001167, of, 22, records,   speed:, -9.7e-05, 
-11, -0.001551, of, 32, records,   speed:, -0.000141, 
-10, -0.001111, of, 50, records,   speed:, -0.000111, 
-9, -0.001773, of, 73, records,   speed:, -0.000197, 
-8, -0.001612, of, 82, records,   speed:, -0.000201, 
-7, -0.001281, of, 100, records,   speed:, -0.000183, 
-6, -0.001562, of, 145, records,   speed:, -0.00026, 
-5, -0.001541, of, 195, records,   speed:, -0.000308, 
-4, -0.001337, of, 213, records,   speed:, -0.000334, 
-3, -0.001093, of, 284, records,   speed:, -0.000364, 
-2, -0.00079, of, 311, records,   speed:, -0.000395, 
-1, -0.000638, of, 533, records,   speed:, -0.000638, 
1, 0.000159, of, 550, records,   speed:, 0.000159, 
2, 0.000549, of, 290, records,   speed:, 0.000275, 
3, 0.000938, of, 239, records,   speed:, 0.000313, 
4, 0.001108, of, 200, records,   speed:, 0.000277, 
5, 0.00115, of, 151, records,   speed:, 0.00023, 
6, 0.001793, of, 103, records,   speed:, 0.000299, 
7, 0.001593, of, 77, records,   speed:, 0.000228, 
8, 0.001841, of, 80, records,   speed:, 0.00023, 
9, 0.001839, of, 56, records,   speed:, 0.000204, 
10, 0.002211, of, 43, records,   speed:, 0.000221, 
11, 0.001628, of, 32, records,   speed:, 0.000148, 
12, 0.001481, of, 24, records,   speed:, 0.000123, 
13, 0.002229, of, 25, records,   speed:, 0.000171, 
14, 0.00222, of, 23, records,   speed:, 0.000159, 
15, 0.001636, of, 15, records,   speed:, 0.000109, 
16, 0.000916, of, 23, records,   speed:, 5.7e-05, 
